x,model_index,model,seed,auc,window_sensitivity,specificity,fpd_per_hour
4.105,4,1D-CNN,8192,0.4728238068780969,0.3129568106312292,0.5938566552901023,4.873720136518771
4.119,4,1D-CNN,9001,0.5833537093242638,0.3796507213363705,0.6935595567867036,3.677285318559557
4.133,4,1D-CNN,9999,0.5503419032543573,0.330078125,0.6797385620915033,3.843137254901961
4.867,5,EEG-Conformer,1024,0.6279554461086146,0.6879831342234716,0.5229615745079662,5.724461105904404
4.881,5,EEG-Conformer,11111,0.5665063584395689,0.944307540660424,0.0796178343949044,11.044585987261144
4.895,5,EEG-Conformer,123,0.5529807651307882,0.3271088216355441,0.6823134953897737,3.812238055322715
4.909,5,EEG-Conformer,12345,0.4732804077534944,0.1260869565217391,0.8863232682060391,1.3641207815275311
4.923,5,EEG-Conformer,13579,0.4998329636521137,0.4296990626541687,0.5643044619422573,5.228346456692913
4.937,5,EEG-Conformer,14142,0.3033332506600087,0.0888324873096446,0.6864820846905537,3.7622149837133554
4.951,5,EEG-Conformer,15926,0.4726411940009207,0.1530201342281879,0.7740072202166065,2.711913357400722
4.965,5,EEG-Conformer,16384,0.4632269821470336,0.5513613861386139,0.4133858267716535,7.039370078740157
4.979,5,EEG-Conformer,2025,0.5106524184348229,0.3804971319311663,0.6983842010771992,3.619389587073609
4.993,5,EEG-Conformer,3141,0.5833597974272704,0.8224061107574793,0.3032967032967033,8.360439560439561
5.007,5,EEG-Conformer,4096,0.5435052266637338,0.3924972004479283,0.6852678571428571,3.776785714285714
5.021,5,EEG-Conformer,42,0.589953554854233,0.6885369532428356,0.4309076042518397,6.829108748977923
5.035,5,EEG-Conformer,456,0.5545316771286828,0.5188253012048193,0.5630252100840336,5.243697478991597
5.049,5,EEG-Conformer,5555,0.5735082730146595,0.476107732406603,0.6298649722001588,4.4416203335980935
5.063,5,EEG-Conformer,6174,0.5436633431207432,0.7414372061786434,0.3785772690106296,7.457072771872444
5.077,5,EEG-Conformer,7077,0.5070202439853457,0.1193866374589266,0.8793103448275862,1.4482758620689655
5.091,5,EEG-Conformer,789,0.5974107484180917,0.9941972920696324,0.0428863172226004,11.485364193328795
5.105,5,EEG-Conformer,8192,0.5270565691154627,0.3687707641196013,0.6646757679180887,4.023890784982935
5.119,5,EEG-Conformer,9001,0.5539089563916986,0.1662870159453303,0.8240997229916898,2.1108033240997233
5.133,5,EEG-Conformer,9999,0.4962862966367103,0.2626953125,0.6470588235294118,4.235294117647059
